Desc,Role
Line Service Advisory Industry Sector Applicable Specialism Risk Management Level Associate Description Summary Risk Modelling Services partners clients advisory services myriad risk initiatives certain key areas compliance mitigate various types risk drive strategic change cost efficient technology approach focus areas Enterprise Risk Management Risk Management Regulatory Management ESG Risk Management Third Party Risk Management Culture Conduct Risk Management addition areas teams firm variety engagements risk capabilities frameworks considerations strategic objectives complex challenges value clients intake Role role Associate engagement manager complex solutions Collaborate engagement members clients areas regulation complianceAssist development implementation new risk regulatory strategies policies capabilitiesSupport clients journey international local regulationsSupport clients operational cultural transformation key focus areas maintenance high quality client relationships exceptional deliverables clients Final year Finance Management Accounting Economics student reputable local universityDemonstrate ability judgement initiative lateral thinking problem solvingGood financial analytical skillsGood interpersonal organisational skillsTeam player tight timelines ability workloadDesire questions feedback professionalExcellent English ability writing reports conduct presentations confidenceGood knowledge Microsoft Office Suite Visio Project Familiarity key strategic drivers regulatory constraints operational process requirements financial services plusFamiliarity Sustainability Climate Change risk drivers ESG Ratings TCFD reporting requirements plusCFA CPA FRM risk professional qualifications process qualifications plus Application Deadline September Next Step email pymetrics days application submission Pymetrics series online games cognitive behavioural emotional traits Note Please note application candidate second preference application preferred position passions interestsYou role application form Duplicate entries application usKindly upload resume audit transcript PDF format candidates Got question Email pwc com Education blank degree field study Degrees Field Study Degrees Field Study Certifications blank certifications Optional Languages blank languages Travel Requirements Available Visa Sponsorship Government Clearance Posting End Date,Cyber Security Specialist
Description duties second line support issues Market platform Hands incident problem management ownership internal client trade issues trade investigate resolution escalation communication logging Identify diagnose Responsible ongoing maintenance platforms accuracy updates pro active monitoring GRD issue logging tracking requests service management tool ServiceNow Ensure logging incidents ServiceNow compliance management review Monitor support chats respond user queries issues timely manner Investigate system logs outputs user issues front office systems front trade processing systems product management workflow system improvements Expectation desire products Market application Coordinate internal training requirements Market platform Client Relationship Management Maintain good working relationship TP ICAP client base external clients Banks levels internal staff Support testing new software roll hours cover upgrade release bank holiday desk coverage Maintain date technical documentation procedures Responsibility aware internal policies role activities level responsibility responsibility compliance operational risk requirements g cultural behaviours security policies regulatory requirements Cross train members championed system Contribute Asia system manual main available Complete mandatory training required deadlines Act integrity due care diligence duties Person Specification Financial Services knowledge preferable Reasonable experienceOperational support literate Basic network Familiarity system log xml administration processing MS Office conversant Good attention Familiarity Commodities markets Confidence internal external customers Good communicator good balance technical social Location Singapore Raffles Place Singapore,Cyber Security Specialist
Accenture Accenture global professional services company capabilities digital cloud security Combining unmatched specialized industries Strategy Consulting Interactive Technology Operations servicesall worlds network Advanced Technology Intelligent Operations people promise technology human ingenuity day clients countries power change value success clients people shareholders partners communities Visit www accenture com Join Accenture Singapore leading organizations communities world sheer scale capabilities client engagements way operate value unparalleled Choose Accenture innovative part extraordinary career Accenture people careers different areas Consulting Technology Outsourcing internal Corporate Functions area unique career compelling mix training opportunities environment structure career progression Duties Become expert support public figures content creators media companies Develop investigative sources verification various cultural contexts Manage high volume ticket queues consistent efficient manner Serve primary support point contact content creators public figures media companies verification pages content Support communicate public figures content creators media partners inbound product questions issues Communicate cross creator partner issue resolution teams troubleshoot resolution Support charities payments issues queries part social initiatives active role policies processes Communicate Partners Products recommendations necessary support Partners issues problems Identify root causes derive solutions Fluency Vietnamese language years online operations management technical support contact centre environment essential Strong Skillset attention organizational problem solving proven ability results opportunities functional expertise area specialization variety formal informal training programs level specialized Learning place formal training online classroom collaboration sheer variety unbeatable platform career Accenture equal opportunities employer welcomes applications sections society grounds race religion belief ethnic national origin disability age citizenship marital domestic civil partnership sexual orientation gender identity basis applicable law,Cyber Security Specialist
ideal candidate responsible analytical mindset financial potential trends issues candidate comfortable insights important themes discoveries company leadership Bitget global cryptocurrency exchange derivatives tradings Singapore Bitget July Singapore users online banking details daily reconciliations system deposit withdrawal fundsResponsible system deposit withdrawal customer service customer funding issuesResponsible adjustment processing customers wrong currency depositsCooperate distribution processing market new channel related successful launchingOther system related funding issues QualificationsBachelor degree accounting finance economics related majors trading market third party payment clearing settlement positions commercial banks keen sense risk good ability risks good logic analysis ability communication expression commitment energetic innovative spirit strong pressure resistance strong sense responsibility teamwork awareness Familiar Internet finance traditional financial services teams projects Bilingual English Mandarin collaboration internal external stakeholders,Cyber Security Specialist
Plug Play ultimate innovation platform startups worlds corporations mission benefits Silicon Valley corners world vision innovation open anyone exceptional backgrounds technology entrepreneurship mission Plug Play Asia Pacifc Ventures Analyst Singapore Venture Analyst role key entry level position Ventures Analysts support responsible relevant startups deal teams new investments Analysts corporate partners technology needs support overall program management Essential Functions New Startups startups events online searches startup details database Attend meetings relevant companies Build strong relationships local VCs universities corporations network startup founders industry events conferences Ventures Program Management Schedule facilitate deal flow meetings startups corporate partners Curate startup lists corporate partners technology interests relationships industry partners Perform additional operational Diligence Investment Research Support deal investment opportunities Conduct high level research market examine industry track competitive landscape interact financial models Technical level Graduate degree Engineering technical fields MBA advanced degree plus Advanced problem ability Highly tight deadlines consistent accuracy attention Proficiency Google Docs MS Office CRMs management tools Intermediate spreadsheet formulas dashboards pivots analysis Start venture capital corporate innovation plus Soft Self prioritize achieve results Exceptional interpersonal demonstrated ability C Suite executives Collaborative diplomatic partner stakeholders multiple offices comfort role degree ambiguity proactive analysis action Strong desire products applications English,Cyber Security Specialist
EY chance career unique global scale support inclusive culture technology version unique voice perspective EY Join exceptional working world EYs Consulting professionals wealth major financial institutions operating model infrastructure strategic right multi disciplinary teams consistent proven global methodologies tools full breadth EYs global network value advice clients key service offerings finance function transformation customer distribution effectiveness operations services support performance management program advisory enterprise intelligence risk management regulatory change EY Wealth Asset Management Finance Consulting core offerings Hence motivated individuals industry insight expertise EY shape offerings market exciting candidates drive entrepreneurship consulting environment Key markets finance functions real added value finance advisor youll knowledge insight functional efficiencies role finance clients businesses Youll innovative sustainable ways management people processes systems finance professionals high performing teams Attributes Success strong understanding Wealth Asset Management WAM industry particular good understanding typical Finance g Reporting FP Operations etc organizational structures WAMSelf starter comfortable operating ambiguityStrong communications evident people teams different ethnic backgrounds Leverage technology service delivery edge practices Strong presentation proficiency use PowerPoint Word Excel role Strong acumen financial sector following discipline hands design implementation ability practices drive workshops WAM industry knowledge finance processes organisation Proven capabilities transformation projects programs Finance Transformation projects Financial Operating Model advantage Ability personal credibility high quality deliverables Good understanding key issues WAM firms ability opportunities clientsExperience ASEANStrong stakeholder management strategic direction able cohesive change management strategy plansAbility client opportunities market growth opportunities Ability development cycle motivated individuals excellent problem ability workloads industry effective communicator confident player people various teams career dynamic organization Continuous Youll mindset next Success Well tools flexibility meaningful impact way Transformative leadership Well insights coaching confidence leader world Diverse inclusive culture Youll voice others criteria please possible Exceptional EY EY Building working world EY world long term value clients people society trust capital markets technology diverse EY teams countries trust assurance help clients transform operate assurance consulting law strategy tax transactions EY teams questions new answers complex issues world today,Cyber Security Specialist
DSO National Laboratories DSO Singapores defence research development R organisation critical mission technological solutions edge Singapore national security DSO career real impact future defence spectrum air land sea space cyberspace Division undertakes research development wide range sensor technologies radar acoustics optics underwater SAF recognised battlefield situation picture People DSOs asset career aspirations niche deep technical expert leader frequent career dialogues robust training development framework necessary development tools potential competitive remuneration packages scholarship opportunities Signal Analyst Underwater Sensors role research design development algorithms processing techniques marine electromagnetic sensingDevelop numerical analytical models effects underwater objects marine electromagnetic fieldDevelop sensor prototypes electronics field experimentsParticipate field experiments performance algorithms fidelity developed models Requirements PhD Bachelors Degree Applied Physics Electronic Electrical EngineeringPrior university course ElectromagneticsAdvanced mathematics Linear Algebra Partial Differential Equations Vector CalculusDigital signal processingMatlab programmingElectrical Electronic prototyping conduct laboratory field experimentsStrong interest electromagnetic theoryPassionate defence R strong willingness topicsA independent workerA strong player good communication inter personal critical thinking,Cyber Security Specialist
client international bank people companies Asia Africa Middle East strong pool clients Quality Lead new upcoming projects Client Details client international bank people companies Asia Africa Middle East strong pool clients Quality Lead new upcoming projects Description Responsible delivery approach path forward residual quality risk HR processes quality assessments process design assessments protection impact assessments incident management awareness training verification proper risk assessments Product Owner delivery scrum changes outcomes roadmap prioritiesLiaise SMEs process owners understanding requirements proposed solutions control gaps workshops requirements project teamConduct assessments surveys quality gathering analysis applications products documentation third parties compliance laws regulations internal standards Profile years extensive relevant role e g Compliance Legal Audit quality domain large organisationExperience following Functions added advantage e g Retail Banking Corporate Institutional Banking Wealth Management Private Banking Legal HR Operations Risk Good understanding Quality Policy Management Framework Information Security Policy Standards Ability role Change Leader SMEJob Offer part organisation value employees Stability career key hence great fit key values remuneration role competitive line market online please Apply button confidential discussion role please Syairah Banu,Cyber Security Specialist
Government Technology Agency GovTech delivery Government digital services outside view citizens businesses heart everything Smart Nation infrastructure applications facilitate collaboration citizens businesses technologies vision Smart Nation nation possibilities info communications technology related engineering Cybersecurity Capability Centre part GovTech Centre Excellence Cybersecurity development innovative cybersecurity capabilities support Smart Nation initiative CCC development cybersecurity capabilities development competencies cybersecurity specialists cybersecurity awareness public officers CCC whole governments cybersecurity programs government assets program manager motivated cybersecurity specialist managers strategists whole government trainings cybersecurity programs diverse group stakeholders divisions GovTech agencies years professional tertiary qualification info comm security computer science fieldStrong interest cybersecurity technologiesExperience partnership management cybersecurity industry governance advantageousGood understanding technology cybersecurity trends application analyst researcher strong analytical problem presentation communication requiredComfortable multiple diverse stakeholders internal external partners Snr management industry Stakeholders equal employer value diversity company diversity meaningful employee benefits total rewards approach comprehensive market competitive suite perks generous benefits life home break important tech landscape plethora house external learning development opportunities year round Subject nature role onsite fixed hours,Cyber Security Specialist
J P Morgan Chase Co J P Morgan global financial services firm assets operations countries firm leader investment banking financial services consumers small commercial banking financial transaction processing asset management private equity Information J P Morgan available http www jpmorganchase com Analyst Head Marketing Asia Global Emerging Asia Investor Sales marketing analysis research analyst marketing client training programs organization client investor trips client conferences ordination project management client networking events Candidate organizational analytic event planning coordination completion multiple various projects Functions responsibilities Assist seamless execution roadshows smooth conduct conferences client event management events post conference statistics Roadshow logistic external vendors transportation hotel flight booking Manage track budget spending summary projects Manage Research Analyst Meeting Schedule travel arrangement instruction location support Project manage onsite support client events planning preparation conferences client training program Adhere internal regulatory policy procedures regards activities legal compliance regulations approval processes privacy Respond ad hoc client requests huge sets insights review Act gatekeeper investors companies access activity related payment Qualifications Bachelor Degree Finance field years Accuracy attention detail paramount role Strong project management ability projects related tasks Strong interpersonal collaboration Strong analytical Strong sense client focus accountability ownership Proven ability task time pressure Self starter Ability part Adaptable flexible willing dynamic environment player ability multiple tasks Proficiency Excel Word Power Point Proficiency English spoken Client advantage J P Morgan global leader financial services strategic advice products world prominent corporations governments wealthy individuals institutional investors first class first class way approach clients everything trusted long term partnerships clients objectives people strength diverse talents global workforce success equal employer place high value diversity inclusion company basis protected attribute race religion color national origin gender sexual orientation gender identity gender expression age marital veteran pregnancy disability basis applicable law accordance applicable law reasonable accommodations employees religious practices beliefs mental health physical disability needs,Cyber Security Specialist
